865,Madhyanchal Professional University,Bhopal,4icu.org/reviews/18740.htm
74,KIIT University,Bhubaneswar,4icu.org/reviews/12140.htm
134,Indian Institute of Technology Bhubaneswar,Bhubaneswar,4icu.org/reviews/13226.htm
270,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar,4icu.org/reviews/15956.htm
279,Siksha 'O' Anusandhan,Bhubaneswar,4icu.org/reviews/15683.htm
349,Centurion University of Technology and Management,Bhubaneswar,4icu.org/reviews/14361.htm
392,Utkal University,Bhubaneswar,4icu.org/reviews/7378.htm
400,Odisha University of Agriculture and Technology,Bhubaneswar,4icu.org/reviews/2092.htm
525,"International Institute of Information Technology, Bhubaneswar",Bhubaneswar,4icu.org/reviews/17781.htm
739,Utkal University of Culture,Bhubaneswar,4icu.org/reviews/2144.htm
808,Rama Devi Women's University,Bhubaneswar,4icu.org/reviews/17784.htm
674,Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj,4icu.org/reviews/12173.htm
622,"Karnataka Veterinary, Animal and Fisheries Sciences University",Bidar,4icu.org/reviews/13130.htm
688,K.K. University,Biharsharif,4icu.org/reviews/17760.htm
601,BLDE University,Bijapur,4icu.org/reviews/15672.htm
679,Karnataka State Women's University,Bijapur ...,4icu.org/reviews/12121.htm
297,Maharaja Ganga Singh University,Bikaner,4icu.org/reviews/12145.htm
413,Rajasthan University of Veterinary and Animal Sciences,Bikaner,4icu.org/reviews/16084.htm
536,Swami Keshwanand Rajasthan Agricultural University,Bikaner,4icu.org/reviews/10327.htm
195,Atal Bihari Vajpayee Vishwavidyalaya,Bilaspur,4icu.org/reviews/15973.htm
344,Guru Ghasidas Vishwavidyalaya,Bilaspur,4icu.org/reviews/7295.htm
476,Dr. C.V. Raman University,Bilaspur,4icu.org/reviews/14331.htm
554,Maharishi University of Management and Technology,Bilaspur ...,4icu.org/reviews/14333.htm
273,Magadh University,Bodh Gaya,4icu.org/reviews/12094.htm
141,Visva-Bharati University,Bolpur ...,4icu.org/reviews/2147.htm
809,Seacom Skills University,Bolpur,4icu.org/reviews/16100.htm
477,Sambalpur University,Burla,4icu.org/reviews/2104.htm
81,"National Institute of Technology, Calicut",Calicut,4icu.org/reviews/7352.htm
458,Kolhan University,Chaibasa,4icu.org/reviews/13127.htm
854,Abhilashi University,Chailchowk,4icu.org/reviews/17817.htm
34,Panjab University,Chandigarh,4icu.org/reviews/7358.htm
80,Post Graduate Institute of Medical Education and Research,Chandigarh,4icu.org/reviews/7356.htm
202,PEC University of Technology,Chandigarh,4icu.org/reviews/12100.htm
54,Indian Institute of Technology Gandhinagar,Chandkheda,4icu.org/reviews/13227.htm
669,Jai Prakash Vishwavidyalaya,Chapra,4icu.org/reviews/7297.htm
334,GLA University,Chaumuhan,4icu.org/reviews/14382.htm
4,Indian Institute of Technology Madras,Chennai,4icu.org/reviews/2038.htm
18,Anna University,Chennai,4icu.org/reviews/1985.htm
21,SRM Institute of Science and Technology,Chennai ...,4icu.org/reviews/2103.htm
37,University of Madras,Chennai,4icu.org/reviews/2136.htm
75,Tamil Nadu Veterinary and Animal Sciences University,Chennai ...,4icu.org/reviews/2120.htm
83,Chennai Mathematical Institute,Chennai,4icu.org/reviews/13199.htm
84,Indian Maritime University,Chennai,4icu.org/reviews/14398.htm
110,Tamil Nadu Teacher Education University,Chennai,4icu.org/reviews/13142.htm
157,Sathyabama Institute of Science and Technology,Chennai,4icu.org/reviews/7367.htm
196,Sri Ramachandra Institute of Higher Education and Research,Chennai,4icu.org/reviews/7372.htm
221,Hindustan Institute of Technology and Science,Chennai,4icu.org/reviews/13200.htm
248,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Chennai,4icu.org/reviews/14972.htm
280,Saveetha Institute of Medical and Technical Sciences,Chennai,4icu.org/reviews/15694.htm
299,Bharath Institute of Higher Education and Research,Chennai,4icu.org/reviews/15688.htm
313,Tamil Nadu Dr. M.G.R.Medical University,Chennai,4icu.org/reviews/2119.htm
331,Vels University,Chennai,4icu.org/reviews/15696.htm
332,"Indian Institute of Information Technology, Design and Manufacturing",Chennai,4icu.org/reviews/13228.htm
350,Tamil Nadu Dr Ambedkar Law University,Chennai,4icu.org/reviews/7376.htm
409,Dr. M.G.R. Educational and Research Institute,Chennai,4icu.org/reviews/15692.htm
426,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,4icu.org/reviews/13213.htm
527,Tamil Nadu Physical Education and Sports University,Chennai,4icu.org/reviews/14423.htm
731,Meenakshi Academy of Higher Education and Research,Chennai,4icu.org/reviews/15690.htm
732,Dakshina Bharat Hindi Prachar Sabha,Chennai,4icu.org/reviews/15985.htm
769,St. Peter's Institute of Higher Education and Research,Chennai,4icu.org/reviews/15695.htm
Un,Tamil Nadu Music and Fine Arts University,Chennai,4icu.org/reviews/17786.htm
598,Kerala Kalamandalam,Cheruthuruthi,4icu.org/reviews/13184.htm
559,Maharaja Chhatrasal Bundelkhand University,Chhatarpur,4icu.org/reviews/16057.htm
112,Annamalai University,Chidambaram,4icu.org/reviews/1986.htm
682,Jagadguru Rambhadracharya Handicapped University,Chitrakoot,4icu.org/reviews/16032.htm
762,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,Chitrakoot,4icu.org/reviews/12126.htm
